,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
14,"Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron","Did not bat: Rashid Khan, Lockie Ferguson, Mohammed Shami, Varun Aaron",
15,"Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)","Fall of wickets: 1-4 (Shubman Gill, 0.3 ov), 2-15 (Vijay Shankar, 2.1 ov), 3-72 (Hardik Pandya, 10.1 ov), 4-78 (Matthew Wade, 11.5 ov), 5-138 (David Miller, 17.3 ov)",
0,Jos Buttler,c †Pooran b Umran Malik,35,28,44,3,3,125.00,,
1,,,,,,,,,,
2,Yashasvi Jaiswal,c Markram b Shepherd,20,16,33,2,1,125.00,,
3,,,,,,,,,,
4,Sanju Samson (c)†,c Abdul Samad b Kumar,55,27,51,3,5,203.70,,
5,,,,,,,,,,
6,Devdutt Padikkal,b Umran Malik,41,29,34,4,2,141.37,,
7,,,,,,,,,,
8,Shimron Hetmyer,b Natarajan,32,13,26,2,3,246.15,,
9,,,,,,,,,,
10,Riyan Parag,c †Pooran b Natarajan,12,9,22,2,0,133.33,,
11,,,,,,,,,,
12,Nathan Coulter-Nile,not out,1,2,4,0,0,50.00,,
13,Extras,"(lb 4, nb 4, w 6)",14,,,,,,,
14,TOTAL,20 Ov (RR: 10.50),210/6,,,,,,,
15,"Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna","Did not bat: Ravichandran Ashwin, Yuzvendra Chahal, Trent Boult, Prasidh Krishna",
16,"Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)","Fall of wickets: 1-58 (Yashasvi Jaiswal, 6.1 ov), 2-75 (Jos Buttler, 8.1 ov), 3-148 (Devdutt Padikkal, 14.6 ov), 4-163 (Sanju Samson, 16.1 ov), 5-207 (Shimron Hetmyer, 19.2 ov), 6-210 (Riyan Parag, 19.6 ov)",
0,Kane Williamson (c),c Padikkal b Prasidh Krishna,2,7,11,0,0,28.57,,
1,,,,,,,,,,
2,Abhishek Sharma,c Hetmyer b Chahal,9,19,42,1,0,47.36,,
3,,,,,,,,,,
4,Rahul Tripathi,c †Samson b Prasidh Krishna,0,3,8,0,0,0.00,,
5,,,,,,,,,,
6,Nicholas Pooran †,lbw b Boult,0,9,8,0,0,0.00,,
7,,,,,,,,,,
8,Aiden Markram,not out,57,41,67,5,2,139.02,,
9,Abdul Samad,c Parag b Chahal,4,6,8,0,0,66.66,,
10,,,,,,,,,,
11,Romario Shepherd,b Chahal,24,18,19,0,2,133.33,,
12,,,,,,,,,,
13,Washington Sundar,c Hetmyer b Boult,40,14,17,5,2,285.71,,
14,,,,,,,,,,
15,Bhuvneshwar Kumar,not out,3,4,7,0,0,75.00,,
16,Extras,"(lb 5, nb 1, w 4)",10,,,,,,,
17,TOTAL,20 Ov (RR: 7.45),149/7,,,,,,,
18,"Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan","Did not bat: Umran Malik, T Natarajan",
19,"Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)","Fall of wickets: 1-3 (Kane Williamson, 1.4 ov), 2-7 (Rahul Tripathi, 3.1 ov), 3-9 (Nicholas Pooran, 4.5 ov), 4-29 (Abhishek Sharma, 8.2 ov), 5-37 (Abdul Samad, 10.2 ov), 6-78 (Romario Shepherd, 15.4 ov), 7-133 (Washington Sundar, 18.5 ov)",
0,Ajinkya Rahane,c Shahbaz Ahmed b Mohammed Siraj,9,10,25,1,0,90.00,,
1,,,,,,,,,,
2,Venkatesh Iyer,c & b Akash Deep,10,14,16,1,0,71.42,,
3,,,,,,,,,,
4,Shreyas Iyer (c),c du Plessis b de Silva,13,10,23,2,0,130.00,,
5,,,,,,,,,,
6,Nitish Rana,c Willey b Akash Deep,10,5,8,1,1,200.00,,
7,,,,,,,,,,
8,Sunil Narine,c Akash Deep b de Silva,12,8,20,1,1,150.00,,
9,,,,,,,,,,
10,Sam Billings,c Kohli b Patel,14,15,28,0,1,93.33,,
11,,,,,,,,,,
12,Sheldon Jackson †,b de Silva,0,1,2,0,0,0.00,,
13,,,,,,,,,,
14,Andre Russell,c †Karthik b Patel,25,18,26,1,3,138.88,,
15,,,,,,,,,,
16,Tim Southee,c du Plessis b de Silva,1,5,18,0,0,20.00,,
17,,,,,,,,,,
18,Umesh Yadav,b Akash Deep,18,12,26,2,1,150.00,,
19,,,,,,,,,,
20,Varun Chakravarthy,not out,10,16,20,2,0,62.50,,
21,Extras,"(b 2, lb 2, nb 1, w 1)",6,,,,,,,
22,TOTAL,18.5 Ov (RR: 6.79),128,,,,,,,
23,"Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)","Fall of wickets: 1-14 (Venkatesh Iyer, 3.1 ov), 2-32 (Ajinkya Rahane, 4.6 ov), 3-44 (Nitish Rana, 5.5 ov), 4-46 (Shreyas Iyer, 6.4 ov), 5-67 (Sunil Narine, 8.5 ov), 6-67 (Sheldon Jackson, 8.6 ov), 7-83 (Sam Billings, 11.4 ov), 8-99 (Andre Russell, 13.5 ov), 9-101 (Tim Southee, 14.3 ov), 10-128 (Umesh Yadav, 18.5 ov)",
0,Faf du Plessis (c),c Rahane b Southee,5,4,11,1,0,125.00,,
1,,,,,,,,,,
2,Anuj Rawat,c †Jackson b Yadav,0,2,4,0,0,0.00,,
3,,,,,,,,,,
4,Virat Kohli,c †Jackson b Yadav,12,7,10,2,0,171.42,,
5,,,,,,,,,,
6,David Willey,c Rana b Narine,18,28,42,3,0,64.28,,
7,,,,,,,,,,
8,Sherfane Rutherford,c †Jackson b Southee,28,40,79,1,1,70.00,,
9,,,,,,,,,,
10,Shahbaz Ahmed,st †Jackson b Varun,27,20,30,0,3,135.00,,
11,,,,,,,,,,
12,Dinesh Karthik †,not out,14,7,23,1,1,200.00,,
13,Wanindu Hasaranga de Silva,c Russell b Southee,4,3,4,1,0,133.33,,
14,,,,,,,,,,
15,Harshal Patel,not out,10,6,12,2,0,166.66,,
16,Extras,"(b 4, lb 1, nb 1, w 8)",14,,,,,,,
17,TOTAL,19.2 Ov (RR: 6.82),132/7,,,,,,,
18,"Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep","Did not bat: Mohammed Siraj, Akash Deep",
19,"Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)","Fall of wickets: 1-1 (Anuj Rawat, 0.3 ov), 2-17 (Faf du Plessis, 1.6 ov), 3-17 (Virat Kohli, 2.1 ov), 4-62 (David Willey, 10.6 ov), 5-101 (Shahbaz Ahmed, 15.6 ov), 6-107 (Sherfane Rutherford, 17.2 ov), 7-111 (Wanindu Hasaranga de Silva, 17.5 ov)",
0,Robin Uthappa,lbw b Ravi Bishnoi,50,27,41,8,1,185.18,,
1,,,,,,,,,,
2,Ruturaj Gaikwad,run out (Ravi Bishnoi),1,4,16,0,0,25.00,,
3,,,,,,,,,,
4,Moeen Ali,b Avesh Khan,35,22,38,4,2,159.09,,
5,,,,,,,,,,
6,Shivam Dube,c Lewis b Avesh Khan,49,30,56,5,2,163.33,,
7,,,,,,,,,,
8,Ambati Rayudu,b Ravi Bishnoi,27,20,32,2,2,135.00,,
9,,,,,,,,,,
10,Ravindra Jadeja (c),c Pandey b Tye,17,9,19,3,0,188.88,,
11,,,,,,,,,,
12,MS Dhoni †,not out,16,6,12,2,1,266.66,,
13,Dwaine Pretorius,lbw b Tye,0,1,3,0,0,0.00,,
14,,,,,,,,,,
15,Dwayne Bravo,not out,1,1,3,0,0,100.00,,
16,Extras,"(b 4, lb 7, w 3)",14,,,,,,,
17,TOTAL,20 Ov (RR: 10.50),210/7,,,,,,,
18,"Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary","Did not bat: Tushar Deshpande, Mukesh Choudhary",
19,"Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)","Fall of wickets: 1-28 (Ruturaj Gaikwad, 2.3 ov), 2-84 (Robin Uthappa, 7.3 ov), 3-106 (Moeen Ali, 10.1 ov), 4-166 (Ambati Rayudu, 16.2 ov), 5-189 (Shivam Dube, 18.2 ov), 6-203 (Ravindra Jadeja, 19.2 ov), 7-203 (Dwaine Pretorius, 19.3 ov)",
0,KL Rahul (c),c Rayudu b Pretorius,40,26,57,2,3,153.84,,
1,,,,,,,,,,
2,Quinton de Kock †,c †Dhoni b Pretorius,61,45,82,9,0,135.55,,
3,,,,,,,,,,
4,Manish Pandey,c Bravo b Deshpande,5,6,8,0,0,83.33,,
5,,,,,,,,,,
6,Evin Lewis,not out,55,23,52,6,3,239.13,,
7,Deepak Hooda,c Jadeja b Bravo,13,8,17,1,1,162.50,,
8,,,,,,,,,,
9,Ayush Badoni,not out,19,9,18,0,2,211.11,,
10,Extras,"(lb 6, w 12)",18,,,,,,,
11,TOTAL,19.3 Ov (RR: 10.82),211/4,,,,,,,
